CAPEC-ID,Name,Attack Description,Security Objective,Technical Impact,
CAPEC-26,Leveraging Race Conditions,"In CAPEC-26, an attacker targets a race condition that arises when multiple processes access and manipulate the same resource concurrently and the outcome of execution depends on the specific order in which those accesses occur. The adversary begins by exploring the system to determine their level of access, then experiments by gaining access to a shared resource and modifying it so that the changed value is later used during normal execution. The attacker then exploits the concurrent access by timing their modification to occur just before another process uses the resource, thereby “running the race” and altering the intended execution flow. This attack requires that the adversary be able to modify the targeted resource and possess medium-level knowledge of concurrent processing and synchronization techniques. When successful, the attack can lead to confidentiality violations through improper access control or privilege gain, and integrity violations through unauthorized data modification, with the overall likelihood of exploit rated as medium. A documented example is the race condition in the Net Direct client for Linux prior to version 6.0.5 on the Nortel Application Switch 2424, VPN 3050/3070, and SSL VPN Module 1000, where local users exploited a world-writable /tmp directory to replace a file in /tmp/NetClient/client, causing arbitrary code to execute when another user ran the client.","Confidentiality, Access Control, Authorization, Integrity","Gain Privileges, Modify Data",
CAPEC-37,Retrieve Embedded Sensitive Data,"In CAPEC-37, an adversary examines a target system to locate sensitive data that has been embedded within the system—such as keys, credentials, or account numbers—and uses this embedded information to facilitate further attacks. The attacker begins by identifying client components (which may include hardware‐integrated firmware or storage) that contain embedded data, then extracts those components (for example by removing storage media or dumping firmware). The adversary then applies techniques such as reverse‐engineering, decoding compressed or encoded data, or analyzing hardware registers to retrieve the hidden information. The prerequisites are that the valuable data is present and embedded (especially in hardware or firmware) and that it is unprotected or poorly protected, such that reverse engineering or decoding is feasible. The attacker must have medium skill—familiarity with code structure, debugging or reverse engineering hardware/firmware—and resources that may include physical access to extract components, hex editors, simulators or extraction tools. If successful, the attack compromises confidentiality by reading data, integrity by modifying data, authorization by gaining privileges or bypassing access control, and access protections by bypassing control mechanisms.","Confidentiality, Integrity, Access Control, Authorization","
Read Data, Modify Data, Gain Privileges",
CAPEC-74,Manipulating State,"In CAPEC-74, an adversary manipulates state information maintained by the target software or causes a state transition in hardware, leading the system to later use this tainted state and execute in an unintended manner. State management is critical to correct system behavior, and improper exposure or control of state enables an attacker to modify execution flow, elevate privilege, perform unauthorized operations, or otherwise induce system behavior beneficial to the adversary. The attack unfolds as the adversary first explores how state is managed and where it resides, then experiments by altering state values or forcing specific state transitions to observe their effects, and finally exploits these findings to perform illegitimate actions. This attack is possible when state is maintained in locations that an adversary can influence, or when hardware contains a faulty finite state machine whose undefined states can be triggered to cause denial-of-service conditions or exposure of secure data. Medium-level skill is required to understand and meaningfully manipulate state or state transitions, and the adversary typically uses tampering or input-modification tools to assist in crafting the necessary interactions. CAPEC rates the likelihood of attack as medium and the typical severity as high. A representative example describes how an authentication decision stored in a modifiable location can be altered to gain illegitimate access, illustrating how manipulating state directly undermines system trust assumptions.","CWE-372, CWE-315, CWE-353, CWE-693, CWE-1245, CWE-1253, CWE-1265, CWE-1271","Confidentiality, Access Control, Authorization, Integrity, Availability","Gain Privileges, Modify Data, Unreliable Execution"
CAPEC-97,"
Cryptanalysis","In CAPEC-97, an adversary studies and exploits weaknesses in a cryptographic algorithm—or in how that algorithm is applied—to decipher ciphertext without knowledge of the secret key. The attacker may aim for a total break (discovering the secret key), global deduction (finding an equivalent encryption/decryption method that does not require the key), information deduction (gaining previously unknown plaintext or ciphertext details), or distinguishing the ciphertext from random data. Although the core algorithm may be secure, incorrect application or implementation flaws can allow cryptanalysis to succeed. The likelihood of this attack is low, but the typical severity is rated very high.","
Confidentiality","
Read Data",
CAPEC-113,Interface Manipulation,"In CAPEC-113, an adversary manipulates the use or processing of a hardware or system interface so that the system implementing that interface executes functionality in an unintended way or bypasses access control protections. The attacker forces unexpected or non-standard interactions with the interface—such as a control, debug, or reset interface on an SoC—causing the integrating system to misinterpret commands or expose sensitive behavior. This attack becomes possible when the system exposes interface operations that an adversary can identify and control, which may require reverse-engineering the interface or decrypting or de-obfuscating communication exchanges to understand how the system interprets interface commands. Once the interface behavior is understood, the attacker crafts or manipulates interface requests using available tools, enabling unauthorized operations. Resource needs vary with the interface but may include man-in-the-middle tooling, protocol analyzers, or custom scripts capable of generating or modifying interface traffic. Successful exploitation allows the adversary to bypass access control or trigger unintended functionality, with CAPEC rating the likelihood as medium and typical severity as medium. A hardware-relevant example included in the CAPEC entry describes SoC components that contain insufficient identifiers, enabling an attacker to reset the device at will or read sensitive data through unintended interface manipulation.",,,
CAPEC-114,Authentication Abuse,"In CAPEC-114, an attacker obtains unauthorized access to a device, service, or application by leveraging inherent weaknesses in the authentication mechanism or exploiting flaws in its implementation. The adversary may know how the authentication scheme works (for example default credentials, weak schemes) or may exploit an implementation error so that a carefully-controlled sequence of events causes the mechanism to grant access to the attacker despite functioning nominally. To conduct the attack, the adversary often explores the authentication process to identify weak points (knowledge or implementation defects) and then experiments with sequences of inputs or timing to exploit the flaw. When successful, the attacker gains unauthorized access, potentially bypassing intended access controls or privileges, with the typical severity rated as high and the likelihood rated as medium. Example scenarios include devices or systems where the authentication decision can be manipulated or replayed, or where default or weak credentials allow access to system functions or data.",,,
CAPEC-116,Excavation,"In CAPEC-116, an adversary probes a target system by issuing normal, malformed, or non-standard inputs in order to extract information that the system inadvertently reveals, such as error messages, configuration details, file paths, or other data that can be used to inform later attacks. The attacker interacts with the system through any accessible interface or communication channel and may employ tools such as fuzzers or proxies to craft custom inputs that elicit informative responses. This attack is feasible when the system responds to unexpected or invalid requests with overly detailed output, allowing the adversary to gather information without breaching authentication barriers. The impact of a successful attack falls under the Confidentiality scope, enabling the adversary to read data they are not authorized to access. CAPEC rates the likelihood of attack as high and the typical severity as medium, since the extracted information often becomes the foundation for more damaging follow-on exploitation.",Confidentiality,Read Data,
CAPEC-121,Exploit Non-Production Interfaces,"In CAPEC-121, an adversary exploits a sample, demonstration, test, or debug interface that was unintentionally left enabled on a production system, with the goal of accessing information or functionality that should have been disabled in the operational device. Because non-production interfaces are often insecure by default and may not have undergone rigorous testing or hardened access controls, their presence on production hardware can allow an attacker to gain deep insight into system internals or invoke functions not intended for end-users. The attack begins with the adversary exploring the system to identify whether any non-production interface remains active; once found, the attacker leverages the interface to execute operations such as unauthorized commands, data access, or hardware manipulation that bypass protections. The prerequisite is that the production hardware contains debug/test/sample interfaces that have not been properly disabled or restricted. The attacker typically requires high skill due to the need to discover and manipulate these hidden interfaces, and resources may range from simple client applications or console windows to specific hardware or firmware tooling depending on the interface in question. If successful, the impacts include unauthorized access control bypass, privilege gain, execution of unauthorized commands, reading data, modifying data or altering execution logic, all of which undermine confidentiality, integrity, and access control mechanisms. The likelihood of attack is rated Low, while the typical severity is High.","Confidentiality, Access Control, Authentication, Authorization, Integrity","Gain Privileges, Bypass Protection Mechanism, Read Data, Execute Unauthorized Commands, Modify Data, Alter Execution Logic",
CAPEC-122,Privilege Abuse,"In CAPEC-122, an adversary abuses elevated functionality by exploiting system features or interfaces that are intended only for privileged users or administrators but are mistakenly exposed or insufficiently protected, allowing a lower-privileged entity to gain unauthorized capabilities. The attacker begins by surveying the target system to locate privileged operations, commands, or data paths that are incorrectly accessible, then experiments with invoking or interacting with this mis-exposed functionality. Once the method of access is understood, the attacker executes privileged operations or retrieves privileged information, thereby bypassing access-control protections and violating security boundaries. The consequences include breaches of confidentiality through unauthorized data access, violations of integrity through data modification, unauthorized command execution, privilege gain, and access-control bypass—effects that are especially critical when privileged resources such as control registers, debug interfaces, configuration fuses, or protected memory regions are exposed within hardware systems. CAPEC rates the likelihood of this attack as medium and the typical severity as high, reflecting the significant risk posed when privileged functionality is not adequately restricted.","Integrity, Confidentiality, Authorization, Access Control","Modify Data, Read Data, Execute Unauthorized Commands, Gain Privileges, Bypass Protection Mechanism",
CAPEC-124,Shared Resource Manipulation,"In CAPEC-124, an adversary exploits a resource that is shared among multiple applications, threads, or hardware functions — such as a single memory location, an application-pool data structure, or hardware pin multiplexing — to influence the behavior of other users of that resource without their knowledge. The attacker gains control (often by compromising one of the sharing applications or threads) over the shared resource and manipulates its content so that the other users continue to trust it and use the corrupted value in their operations. This manipulation can lead to invalid trust assumptions, corruption of additional data, unintended behavior in other components, or even crashes or compromise of the sharing applications or hardware functions. The prerequisites include: the target must expose a shared resource between multiple users (threads/applications/hardware functions) and the adversary must be able to co-opt one of those users so that the shared data can be manipulated and accepted by the others. No specialized resources are required by the attacker to perform the manipulation. The consequences span confidentiality and integrity risks (unauthorized data influence, corruption), as well as availability issues via crashes. The CAPEC entry assigns the typical severity as medium.",,,
