CWE-ID,Relevant CAPEC-ID
CWE-203,CAPEC-189
CWE-226,CAPEC-37
CWE-276,
CWE-319,
CWE-325,
CWE-440,
CWE-441,
CWE-1053,
CWE-1059,
CWE-1189,CAPEC-124
CWE-1190,CAPEC-180
CWE-1191,CAPEC-180
CWE-1192,CAPEC-113
CWE-1193,CAPEC-180
CWE-1209,CAPEC-121
CWE-1220,CAPEC-180
CWE-1221,CAPEC-166
CWE-1222,CAPEC-679
CWE-1223,CAPEC-26
CWE-1224,CAPEC-680
CWE-1231,CAPEC-680
CWE-1232,CAPEC-166
CWE-1233,"CAPEC-176, CAPEC-680"
CWE-1234,CAPEC-176
CWE-1240,CAPEC-97
CWE-1241,CAPEC-97
CWE-1242,CAPEC-212
CWE-1243,"CAPEC-116, CAPEC-545"
CWE-1244,CAPEC-114
CWE-1245,CAPEC-74
CWE-1246,CAPEC-212
CWE-1247,CAPEC-624
CWE-1248,CAPEC-624
CWE-1250,
CWE-1251,
CWE-1252,CAPEC-679
CWE-1253,CAPEC-74
CWE-1254,CAPEC-26
CWE-1255,CAPEC-189
CWE-1256,CAPEC-624
CWE-1257,"CAPEC-679, CAPEC-456"
CWE-1258,"CAPEC-37, CAPEC-150, CAPEC-204, CAPEC-545"
CWE-1260,"CAPEC-679, CAPEC-456"
CWE-1261,
CWE-1262,CAPEC-680
CWE-1263,CAPEC-401
CWE-1264,"CAPEC-233, CAPEC-663"
CWE-1267,"CAPEC-121, CAPEC-681"
CWE-1268,CAPEC-180
CWE-1271,CAPEC-74
CWE-1272,"CAPEC-37, CAPEC-150, CAPEC-545"
CWE-1274,"CAPEC-679, CAPEC-456"
CWE-1276,
CWE-1277,CAPEC-682
CWE-1278,"CAPEC-37, CAPEC-545, CAPEC-188"
CWE-1279,CAPEC-97
CWE-1280,CAPEC-180
CWE-1281,CAPEC-212
CWE-1282,CAPEC-679
CWE-1283,CAPEC-680
CWE-1291,
CWE-1294,"CAPEC-121, CAPEC-681"
CWE-1295,CAPEC-121
CWE-1296,"CAPEC-121, CAPEC-702"
CWE-1298,CAPEC-26
CWE-1299,CAPEC-456
CWE-1300,CAPEC-189
CWE-1301,CAPEC-37
CWE-1302,"CAPEC-121, CAPEC-681"
CWE-1303,CAPEC-663
CWE-1304,CAPEC-176
CWE-1310,CAPEC-682
CWE-1311,"CAPEC-180, CAPEC-233"
CWE-1312,"CAPEC-679, CAPEC-456"
CWE-1313,CAPEC-121
CWE-1314,
CWE-1315,CAPEC-180
CWE-1316,"CAPEC-679, CAPEC-456"
CWE-1317,CAPEC-122
CWE-1318,"CAPEC-180,"
CWE-1319,CAPEC-624
CWE-1320,CAPEC-180
CWE-1323,"CAPEC-150, CAPEC-545"
CWE-1326,CAPEC-679
CWE-1328,CAPEC-176
CWE-1329,
CWE-1331,CAPEC-124
CWE-1332,CAPEC-624
CWE-1334,CAPEC-624
CWE-1338,CAPEC-624
CWE-1342,
CWE-1351,
CWE-1351,CAPEC-624
CWE-1357,
CWE-1384,
CWE-1420,
CWE-1421,
CWE-1423,
CWE-1429,
CWE-1431,
